Date,Open,High,Low,Close,Volume
2021-04-01,116644,117088,114991,115253,8009200
2021-04-05,115262,117668,115262,117518,7245100
2021-04-06,117519,118213,117176,117499,6800800
2021-04-07,117499,118303,116748,117624,0
2021-04-08,117624,118850,117486,118313,8778200
2021-04-09,118313,118643,117336,117670,7739400
2021-04-12,117661,118812,117661,118812,7000500
2021-04-13,118809,119529,118041,119297,8977600
2021-04-14,119298,120871,119298,120295,10076600
2021-04-15,120290,121409,120084,120701,7948100
2021-04-16,120701,121333,120199,121114,7945600
2021-04-19,121116,121974,120682,120934,10028100
2021-04-20,120925,121354,119841,120062,7811500
2021-04-22,120064,120995,119203,119371,8598600
2021-04-23,119372,120815,119372,120530,7615500
2021-04-26,120534,121393,119860,120595,7095300
